family_combined,name,cost_unit,qtt,cost,description,creation_date,modification_date,billed_person_id,customer_name
7 - Mobile,Business Smartphone 5 Go,18.0,1.0,18.0,,2025-06-02 09:49:09,2025-06-02 09:49:09,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
8 - Various,Remise Parc supérieur à 10 lignes -5% sur les abonnements,-2.7,1.0,-2.7,,2025-06-03 13:00:49,2025-06-03 13:00:49,1386396,ACTIONS
1 - Licenses and options,Licence Agent Call Center,50.0,15.0,750.0,,2025-06-10 16:41:29,2025-07-03 10:34:51,1068154,ARBS - Call Center
1 - Licenses and options,Licence Téléphonie Call Center,12.0,17.0,204.0,,2025-06-10 16:41:29,2025-07-01 10:21:38,1068154,ARBS - Call Center
3 - Access links,Fibre Mutualisée avec Backup 4G,59.0,1.0,59.0,,2025-06-23 10:48:11,2025-06-23 10:48:11,1747849,AUDIT ENERGIE TRANSFERT SERVICE INDUSTRIE
1 - Licenses and options,Application Fax 2 Mail / Mail 2 Fax,7.0,1.0,7.0,,2025-06-02 15:34:00,2025-06-02 15:34:00,570682,CABINET MEDICAL DU VERMANDOIS
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,8.0,120.0,,2025-06-02 15:34:00,2025-06-02 15:34:00,570682,CABINET MEDICAL DU VERMANDOIS
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.7,9.0,6.3,,2025-06-02 15:34:00,2025-06-02 15:34:00,570682,CABINET MEDICAL DU VERMANDOIS
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,10.0,1.0,10.0,,2025-06-02 15:34:00,2025-06-02 15:34:00,570682,CABINET MEDICAL DU VERMANDOIS
7 - Mobile,Business Smartphone 5 Go,16.0,2.0,32.0,,2025-07-03 11:48:58,2025-07-03 11:48:58,1225829,CAMBRAI CHARPENTES
1 - Licenses and options,Hébergement Coeur de Système Contact Expérience,99.0,1.0,99.0,,2025-06-30 10:16:17,2025-06-30 10:16:17,517498,COMMUNE DE MAROEUIL
3 - Access links,Abonnement Fibre FTTH + Routeur - Site Salle des 3 Rivières,79.0,1.0,79.0,,2025-06-30 11:01:55,2025-06-30 11:01:55,517498,COMMUNE DE MAROEUIL
1 - Licenses and options,Numéro Direct - SDA,0.8,1.0,0.8,,2025-06-13 16:16:22,2025-06-13 16:16:22,821745,EAUTEX SARL
8 - Various,Remise > 20 lignes,-10.2,1.0,-10.2,,2025-06-13 16:14:24,2025-06-13 16:14:24,621996,EMPLOI ET HANDICAP GRAND LILLE
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,59.0,1.0,59.0,,2025-07-01 09:22:47,2025-07-01 09:22:47,1371747,FRACHT FRANCE Dunkerque
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2025-07-01 09:22:47,2025-07-01 09:22:47,1371747,FRACHT FRANCE Dunkerque
8 - Various,Remise Parc > 20 lignes,-12.0,1.0,-12.0,,2025-06-13 15:20:16,2025-06-13 15:20:16,623320,GRPT EMPLOY INSERTION QUALIF EMPLOI HAND
7 - Mobile,Business Smartphone 20 Go,16.9,2.0,33.8,,2025-07-31 09:57:25,2025-07-31 09:57:25,909587,HOMZA
7 - Mobile,Business Smartphone 5 Go,18.0,1.0,18.0,,2025-07-29 16:23:32,2025-07-29 16:23:32,1627524,KVDS
7 - Mobile,Business Smartphone 50 Go,35.0,2.0,70.0,,2025-07-29 16:23:32,2025-07-29 16:23:32,1627524,KVDS
8 - Various,Remise N'CO SERVICES,-5.0,1.0,-5.0,,2025-06-13 14:36:21,2025-06-13 14:36:21,540406,LA MAISON DU CHAUFFAGE
8 - Various,Remise Parc supérieur à 10 lignes -5 % sur les abonnements,-1.25,1.0,-1.25,,2025-06-03 13:03:48,2025-06-03 13:03:48,1386372,LS INVEST
1 - Licenses and options,Hébergement Coeur de système Standard téléphonique,25.0,1.0,25.0,,2025-06-19 08:58:12,2025-06-19 08:58:12,1601199,MR ABRAHAM THIBAULT
8 - Various,Avantage client,-1.25,1.0,-1.25,,2025-06-10 15:55:47,2025-06-10 15:55:47,1602166,Mr GHESQUIER VINCENT
3 - Access links,Cloud Firewall - VPN - Coeur de réseau MPLS,34.0,1.0,34.0,,2025-06-05 16:35:11,2025-06-05 16:35:11,314731,NORD MED
