family_combined,name,cost_unit,qtt,cost,description,creation_date,modification_date,billed_person_id,customer_name
1 - Licenses and options,Licence Utilisateur + Application Doko,12.9,1.0,12.9,,2025-05-06 13:32:15,2025-05-06 13:32:15,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
1 - Licenses and options,Licence utilisateur avec poste fixe,12.9,1.0,12.9,,2023-07-13 09:47:45,2023-12-04 15:30:53,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
1 - Licenses and options,Licence utilisateur avec poste fixe (pension),12.9,1.0,12.9,,2023-07-13 09:47:45,2023-12-04 15:30:53,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
1 - Licenses and options,Licence utilisateur avec poste sans fil (x2),15.8,1.0,15.8,,2023-07-13 09:47:45,2023-12-04 15:30:53,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
3 - Access links,Accès Internet - Fibre Dédiée FTTO - 100 Mbps - Symétrique et garanti,470.0,1.0,470.0,,2023-05-16 14:45:56,2024-03-26 11:32:13,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.5,6.0,3.0,,2023-07-13 09:47:45,2024-03-26 11:32:13,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
5 - Service Pack,Cloud Firewall - VPN - Coeur de réseau MPLS,35.0,1.0,35.0,,2023-05-16 14:45:56,2024-03-26 11:32:13,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,20.0,1.0,20.0,,2023-05-16 14:45:56,2024-03-26 11:32:13,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
7 - Mobile,Accès Internet Mobile 1 Go,9.0,1.0,9.0,,2025-05-06 13:32:15,2025-05-06 13:32:15,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
7 - Mobile,Avantage client mobile -10%,-3.0,1.0,-3.0,,2024-05-28 10:57:00,2024-08-20 14:59:43,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
7 - Mobile,Business Smartphone 1 Go,12.0,1.0,12.0,,2023-12-04 15:34:10,2024-08-20 14:59:43,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
7 - Mobile,Business Smartphone 5 Go,18.0,1.0,18.0,,2024-08-20 14:59:43,2024-08-20 14:59:43,1246235,ACCUEIL ET PROMOTION SAMBRE - Site Bachant
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,10.0,8.0,80.0,,2022-07-04 17:13:12,2024-03-26 11:33:44,1085652,ACCUEIL ET PROMOTION SAMBRE - Site Hautmont
3 - Access links,Accès Internet - Fibre Dédiée FTTO - 100 Mbps - Symétrique et garanti,470.0,1.0,470.0,,2022-07-28 17:42:36,2024-03-26 11:33:44,1085652,ACCUEIL ET PROMOTION SAMBRE - Site Hautmont
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.5,8.0,4.0,,2022-07-04 17:13:12,2024-03-26 11:33:44,1085652,ACCUEIL ET PROMOTION SAMBRE - Site Hautmont
5 - Service Pack,Cloud Firewall - VPN - Coeur de réseau MPLS,35.0,1.0,35.0,,2022-07-28 17:42:36,2024-03-26 11:33:44,1085652,ACCUEIL ET PROMOTION SAMBRE - Site Hautmont
6 - Hardware,Poste téléphonique - Prémium IP - Ecran couleur - HD,2.9,8.0,23.2,,2022-07-04 17:13:12,2023-12-07 09:19:06,1085652,ACCUEIL ET PROMOTION SAMBRE - Site Hautmont
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,20.0,1.0,20.0,,2022-07-28 17:42:36,2024-03-26 11:33:44,1085652,ACCUEIL ET PROMOTION SAMBRE - Site Hautmont
7 - Mobile,Avantage client mobile -10%,-3.6,1.0,-3.6,,2024-05-28 10:58:20,2024-05-28 10:58:20,1085652,ACCUEIL ET PROMOTION SAMBRE - Site Hautmont
7 - Mobile,Business Smartphone 1 Go,12.0,3.0,36.0,,2023-12-04 15:45:40,2024-05-28 10:58:20,1085652,ACCUEIL ET PROMOTION SAMBRE - Site Hautmont
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,10.0,1.0,10.0,,2022-06-14 14:05:11,2024-03-26 11:34:47,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,35.0,1.0,35.0,,2022-06-16 16:30:29,2024-03-26 11:34:47,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
3 - Access links,Accès Internet - Fibre Dédiée FTTO - 100 Mbps - Symétrique et garanti,470.0,1.0,470.0,,2023-05-30 14:22:59,2024-03-26 11:34:47,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.5,1.0,0.5,,2022-06-14 14:05:11,2024-03-26 11:34:47,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
6 - Hardware,Poste téléphonique - Prémium IP,2.9,1.0,2.9,,2022-06-14 14:05:11,2023-12-04 15:26:06,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
7 - Mobile,Avantage client mobile -10%,-2.4,1.0,-2.4,,2024-05-28 10:59:59,2024-10-21 14:03:48,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
7 - Mobile,Business Smartphone 1 Go,12.0,2.0,24.0,,2023-12-04 15:28:59,2024-10-21 14:03:48,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
1 - Licenses and options,Fax to Mail,8.5,1.0,8.5,,2024-09-30 16:40:58,2024-09-30 16:40:58,1246285,ACCUEIL ET PROMOTION SAMBRE - Site Leval
